id;id_kota;nama_kec;kode_kec;created_at;updated_at
1;1;TEUPAH SELATAN;1101010;2021-04-03 15:54:08;2021-04-03 15:54:08
2;1;SIMEULUE TIMUR;1101020;2021-04-03 15:54:08;2021-04-03 15:54:08
3;1;TEUPAH BARAT;1101021;2021-04-03 15:54:08;2021-04-03 15:54:08
4;1;TEUPAH TENGAH;1101022;2021-04-03 15:54:08;2021-04-03 15:54:08
5;1;SIMEULUE TENGAH;1101030;2021-04-03 15:54:08;2021-04-03 15:54:08
6;1;TELUK DALAM;1101031;2021-04-03 15:54:08;2021-04-03 15:54:08
7;1;SIMEULUE CUT;1101032;2021-04-03 15:54:08;2021-04-03 15:54:08
8;1;SALANG;1101040;2021-04-03 15:54:08;2021-04-03 15:54:08
9;1;SIMEULUE BARAT;1101050;2021-04-03 15:54:08;2021-04-03 15:54:08
10;1;ALAFAN;1101051;2021-04-03 15:54:08;2021-04-03 15:54:08
11;2;PULAU BANYAK;1102010;2021-04-03 15:54:08;2021-04-03 15:54:08
12;2;PULAU BANYAK BARAT;1102011;2021-04-03 15:54:08;2021-04-03 15:54:08
13;2;SINGKIL;1102020;2021-04-03 15:54:08;2021-04-03 15:54:08
14;2;SINGKIL UTARA;1102021;2021-04-03 15:54:08;2021-04-03 15:54:08
15;2;KUALA BARU;1102022;2021-04-03 15:54:08;2021-04-03 15:54:08
16;2;SIMPANG KANAN;1102030;2021-04-03 15:54:08;2021-04-03 15:54:08
17;2;GUNUNG MERIAH;1102031;2021-04-03 15:54:08;2021-04-03 15:54:08
18;2;DANAU PARIS;1102032;2021-04-03 15:54:08;2021-04-03 15:54:08
19;2;SURO;1102033;2021-04-03 15:54:08;2021-04-03 15:54:08
20;2;SINGKOHOR;1102042;2021-04-03 15:54:08;2021-04-03 15:54:08
21;2;KOTA BAHARU;1102043;2021-04-03 15:54:08;2021-04-03 15:54:08
22;3;TRUMON;1103010;2021-04-03 15:54:08;2021-04-03 15:54:08
