id;kode_prov;nama_prov;;created_at;updated_at
1;11;ACEH;;2021-04-03 15:54:39;2021-04-03 15:54:39
2;12;SUMATERA UTARA;;2021-04-03 15:54:39;2021-04-03 15:54:39
3;13;SUMATERA BARAT;;2021-04-03 15:54:39;2021-04-03 15:54:39
4;14;RIAU;;2021-04-03 15:54:39;2021-04-03 15:54:39
5;15;JAMBI;;2021-04-03 15:54:39;2021-04-03 15:54:39
6;16;SUMATERA SELATAN;;2021-04-03 15:54:39;2021-04-03 15:54:39
7;17;BENGKULU;;2021-04-03 15:54:39;2021-04-03 15:54:39
8;18;LAMPUNG;;2021-04-03 15:54:39;2021-04-03 15:54:39
9;19;KEPULAUAN BANGKA BELITUNG;;2021-04-03 15:54:39;2021-04-03 15:54:39
10;21;KEPULAUAN RIAU;;2021-04-03 15:54:39;2021-04-03 15:54:39
11;31;DKI JAKARTA;;2021-04-03 15:54:39;2021-04-03 15:54:39
12;32;JAWA BARAT;;2021-04-03 15:54:39;2021-04-03 15:54:39
13;33;JAWA TENGAH;;2021-04-03 15:54:39;2021-04-03 15:54:39
14;34;DI YOGYAKARTA;;2021-04-03 15:54:39;2021-04-03 15:54:39
15;35;JAWA TIMUR;;2021-04-03 15:54:39;2021-04-03 15:54:39
16;36;BANTEN;;2021-04-03 15:54:39;2021-04-03 15:54:39
17;51;BALI;;2021-04-03 15:54:39;2021-04-03 15:54:39
18;52;NUSA TENGGARA BARAT;;2021-04-03 15:54:39;2021-04-03 15:54:39
19;53;NUSA TENGGARA TIMUR;;2021-04-03 15:54:39;2021-04-03 15:54:39
20;61;KALIMANTAN BARAT;;2021-04-03 15:54:39;2021-04-03 15:54:39
21;62;KALIMANTAN TENGAH;;2021-04-03 15:54:39;2021-04-03 15:54:39
22;63;KALIMANTAN SELATAN;;2021-04-03 15:54:39;2021-04-03 15:54:39
23;64;KALIMANTAN TIMUR;;2021-04-03 15:54:39;2021-04-03 15:54:39
24;65;KALIMANTAN UTARA;;2021-04-03 15:54:39;2021-04-03 15:54:39
25;71;SULAWESI UTARA;;2021-04-03 15:54:39;2021-04-03 15:54:39
26;72;SULAWESI TENGAH;;2021-04-03 15:54:39;2021-04-03 15:54:39
27;73;SULAWESI SELATAN;;2021-04-03 15:54:39;2021-04-03 15:54:39
28;74;SULAWESI TENGGARA;;2021-04-03 15:54:39;2021-04-03 15:54:39
29;75;GORONTALO;;2021-04-03 15:54:39;2021-04-03 15:54:39
30;76;SULAWESI BARAT;;2021-04-03 15:54:39;2021-04-03 15:54:39
31;81;MALUKU;;2021-04-03 15:54:39;2021-04-03 15:54:39
32;82;MALUKU UTARA;;2021-04-03 15:54:39;2021-04-03 15:54:39
33;91;PAPUA BARAT;;2021-04-03 15:54:39;2021-04-03 15:54:39
34;94;PAPUA;;2021-04-03 15:54:39;2021-04-03 15:54:39
;;;;;
